ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZMAPWC2,mantpjwm,,,Prestwich (Manchester Metrolink),,Prestiwich,,Longfield Centre,,Off Rectory Lane,,,,To Manchester,,,E0029221,Prestwich,Bury,,,,,,1,UKOS,381422,404109,-2.28175587782,53.53330406748,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMAQRD,mantwdwt,,,Queens Road (Manchester Metrolink),,Queens Road,,,,Off Queens Road,,,,,,,E0029339,Smedley,Cheetham Hill,,,,,,0,UKOS,385063,400575,-2.22665500265,53.50165631597,MET,,,,,,147,2013-10-09T12:41:00,2021-04-27T12:13:28,3,revise,active
9400ZZMAQRD1,mantwgad,,,Queens Road (Manchester Metrolink),,Queens Road,,,,Off Queens Road,,,,To Bury,,,E0029339,Smedley,Cheetham Hill,,,,,,0,UKOS,385059,400575,-2.226715305,53.50165620149,PLT,,,,,,147,2013-10-09T12:42:00,2021-04-16T09:27:13,2,revise,active
9400ZZMAQRD2,mantwgag,,,Queens Road (Manchester Metrolink),,Queens Road,,,,Off Queens Road,,,,To Manchester,,,E0029339,Smedley,Cheetham Hill,,,,,,0,UKOS,385069,400578,-2.22656469306,53.50168345263,PLT,,,,,,147,2013-10-09T12:44:00,2021-04-16T09:27:13,2,revise,active
9400ZZMARAD,mantmwda,,,Radcliffe (Manchester Metrolink),,Radcliffe,,Radcliffe Leisure Centre,,Off Spring Lane,,,,,,,E0029232,Radcliffe,Bury,,,,,,0,UKOS,378834,407355,-2.32102118146,53.56238128325,MET,,,,,,147,2005-10-13T00:00:00,2021-04-27T12:13:28,5,revise,active
9400ZZMARAD1,mantpjtm,,,Radcliffe (Manchester Metrolink),,Radcliffe,,Radcliffe Leisure Centre,,Off Spring Lane,,,,To Bury,,,E0029232,Radcliffe,Bury,,,,,,0,UKOS,378833,407342,-2.32103539309,53.5622643965,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMARAD2,mantpjtp,,,Radcliffe (Manchester Metrolink),,Radcliffe,,Radcliffe Leisure Centre,,Off Spring Lane,,,,To Manchester,,,E0029232,Radcliffe,Bury,,,,,,0,UKOS,378836,407369,-2.32099194077,53.56250719871,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMARIN,mantwdwj,,,Rochdale Town Centre (Manchester Metrolink),,Rochdale Town Centre,,Rochdale Riverside,,Smith Street,,,,,,,E0057799,Rochdale,,,,,,,1,UKOS,389817,413431,-2.15540902718,53.61732422441,MET,,,,,,147,2013-09-25T14:17:00,2021-04-27T12:13:28,4,revise,active
9400ZZMARIN1,mantwdwm,,,Rochdale Town Centre (Manchester Metrolink),,Rochdale Town Centre,,Rochdale Riverside,,Smith Street,,,,From Manchester,,,E0057799,Rochdale,,,,,,,1,UKOS,389817,413433,-2.15540909332,53.6173422008,PLT,,,,,,147,2013-09-25T14:20:00,2021-04-16T09:27:13,4,revise,active
9400ZZMARIN2,mantwdwp,,,Rochdale Town Centre (Manchester Metrolink),,Rochdale Town Centre,,Rochdale Riverside,,Smith Street,,,,To Manchester,,,E0057799,Rochdale,,,,,,,1,UKOS,389818,413431,-2.15539391036,53.61732424407,PLT,,,,,,147,2013-09-25T14:22:00,2021-04-16T09:27:13,5,revise,active
