"StationName","NaptanCode","HubNaptan","Latitude","Longitude","Lift","SameLevel","Interchange","FareZones","Wifi"
"South Harrow Underground Station","940GZZLUSHH","",51.564888,-0.352492,0,FALSE,0,"5",TRUE
"South Kensington Underground Station","940GZZLUSKS","",51.494094,-0.174138,0,FALSE,1,"1",TRUE
"South Kenton Rail Station","910GSKENTON","HUBSOK",51.570214,-0.308462,0,FALSE,0,"4",TRUE
"South Kenton Underground Station","940GZZLUSKT","HUBSOK",51.570232,-0.308433,0,FALSE,0,"4",TRUE
"South Ruislip Underground Station","940GZZLUSRP","HUBSRU",51.556853,-0.398915,0,FALSE,0,"5",TRUE
"South Tottenham Rail Station","910GSTOTNHM","",51.580372,-0.072103,2,FALSE,0,"3",FALSE
"South Wimbledon Underground Station","940GZZLUSWN","",51.415309,-0.192005,0,FALSE,0,"3|4",TRUE
"South Woodford Underground Station","940GZZLUSWF","",51.591907,0.027338,0,FALSE,2,"4",TRUE
"Southall Rail Station","910GSTHALL","",51.505957,-0.37861,3,FALSE,0,"4",FALSE
"Southbury Rail Station","910GSBURY","",51.648705,-0.052437,0,FALSE,0,"5",TRUE
"Southfields Underground Station","940GZZLUSFS","",51.445073,-0.206602,1,FALSE,0,"3",TRUE
"Southgate Underground Station","940GZZLUSGT","",51.632315,-0.127816,0,FALSE,0,"4",TRUE
"Southwark Underground Station","940GZZLUSWK","",51.50427,-0.105331,2,FALSE,0,"1",TRUE
"St James Street (London) Rail Station","910GSTJMSST","",51.580981,-0.032918,0,FALSE,0,"3",TRUE
"St. James's Park Underground Station","940GZZLUSJP","",51.499544,-0.133608,0,FALSE,0,"1",TRUE
"St. John's Wood Underground Station","940GZZLUSJW","",51.534521,-0.173948,0,FALSE,0,"2",TRUE
"St. Paul's Underground Station","940GZZLUSPU","",51.514936,-0.097567,0,FALSE,0,"1",TRUE
"Stamford Brook Underground Station","940GZZLUSFB","",51.494917,-0.245704,0,FALSE,0,"2",TRUE
"Stamford Hill Rail Station","910GSTMFDHL","",51.574467,-0.076682,0,FALSE,0,"3",TRUE
"Stanmore Underground Station","940GZZLUSTM","",51.619839,-0.303266,0,FALSE,0,"5",TRUE
